Actual,Predicted,Equal
SDRfamilyoxidoreductase,3-hydroxyacyl-CoAdehydrogenase,False
transcriptionelongationfactor,-family,False
forkheadboxtranscriptionfactor,cupindomain-containingprotein,False
BTB/POZdomain-containingprotein,potassiumchannelregulatoryprotein,False
anthranilatephosphoribosyltransferase,-family,False
peroxyureidoacrylate/ureidoacrylateamidohydrolaseRutB,pyrimidineutilizationprotein,False
adenylate/guanylatecyclasedomain-containingprotein,CHASE2andHATPasecdomain-containingprotein,False
S9familypeptidase,ankyrinrepeatdomain-containingprotein,False
cytidylyltransferasefamilyprotein,site-specificintegrase,False
insulinasefamilyprotein,protocadherin,False
GDP-fucoseproteinO-fucosyltransferase1,GDP-fucoseproteinO-fucosyltransferase2,False
myosin/kinesinfamilyprotein,-family,False
patatin-likephospholipasefamilyprotein,E3ubiquitin-proteinligase,False
ComEC/Rec2familycompetenceprotein,TetR/AcrRfamilytranscriptionalregulator,False
DUF995domain-containingprotein,dihydrodipicolinatesynthasefamilyprotein,False
U-boxdomain-containingprotein,UBAandUBXdomain-containingprotein,False
DUF1912familyprotein,DUF1919domain-containingprotein,False
inhibitorofBrutontyrosinekinase,ankyrinrepeatandBTB/POZdomain-containingprotein,False
DUF3899domain-containingprotein,DUF4010domain-containingprotein,False
proteasemodulatorHflK,proteasemodulatorHflC,False
SAM-dependentmethyltransferase,hemoglobinbeta-likeprotein,False
futalosinehydrolase,-family,False
40Sribosomalprotein,-family,False
PHdomain-containingprotein,SSRP1familyPHdomain-containingprotein,False
OmpAfamilyprotein,LIMdomain-containingprotein,False
lysineexporterLysOfamilyprotein,SVP26/TEX261familyprotein,False
aldehydeoxygenase(deformylating),-family,False
UbiEfamilyclassISAM-dependentmethyltransferase,HMG-boxdomain-containingprotein,False
deoxyguanosinetriphosphatetriphosphohydrolasefamilyprotein,-family,False
accessorygeneregulatorAgrB,cobaltochelatasesubunitCobN,False
ankyrinrepeatandBTB/POZdomain-containingprotein,RNA/RNPcomplex-1-interactingphosphatasefamilyprotein,False
N-acetyl-alpha-D-glucosaminylL-malatesynthaseBshA,glycosidehydrolasefamilyprotein,False
LuxRfamilytranscriptionalregulator,sensorhistidinekinase,False
L-lactatepermease,-family,False
DUF4372domain-containingprotein,DUF4401domain-containingprotein,False
radicalSAMprotein,RNAmethyltransferase,False
aldehydedehydrogenase,RNApolymerase-associatedRTF1familyprotein,False
methyl-acceptingchemotaxisprotein,PASdomain-containingsensorhistidinekinase,False
GTP-bindingprotein,XREfamilytranscriptionalregulator,False
16SrRNAmethyltransferase,-family,False
TLCdomain-containingprotein,mitochondrialimportinnermembranetranslocasesubunit,False
GHKLdomain-containingprotein,ankyrinrepeatdomain-containingprotein,False
CotHfamilyprotein,-family,False
TetR/AcrRfamilytranscriptionalregulator,GntRfamilytranscriptionalregulator,False
outermembranelipidasymmetrymaintenanceproteinMlaD,autotransporteradhesin,False
proteasemodulatorHflK,E3SUMO-proteinligase,False
energytransducerTonB,ADP-ribosylglycohydrolasefamilyprotein,False
pentafunctionalAROMpolypeptide,trifunctionalserine/threonine-proteinkinase/ATP-bindingprotein/SpoIIEfamilyproteinphosphatase,False
coiled-coildomain-containing,DUF4802domain-containingprotein,False
LCPfamilyprotein,OmpAfamilyprotein,False
16SrRNAmethyltransferase,nucleosidedeaminase,False
PhoXfamilyphosphatase,-family,False
pyruvateformatelyasefamilyprotein,MAM33familyprotein,False
DUF4922domain-containingprotein,DUF4923familyprotein,False
GNATfamilyN-acetyltransferase,ribosylpyrimidinenucleosidase,False
Zn(II)2Cys6transcriptionfactordomain-containingprotein,C2H2-typezincfingerprotein,False
HollidayjunctionATP-dependentDNAhelicaseRuvA,-family,False
"1,4-alpha-glucan-branchingprotein",-family,False
tectonicfamilyprotein,-family,False
DUF3300domain-containingprotein,DUF3278domain-containingprotein,False
G-proteincoupledreceptor,protein-tyrosinephosphatase,False
arrestinfamilyprotein,RNApolymerase-associatedRTF1familyprotein,False
4-alpha-glucanotransferase,classISAM-dependentmethyltransferase,False
helix-turn-helixtranscriptionalregulator,helix-turn-helixdomain-containingprotein,False
sulfateadenylyltransferase,bifunctionalRNaseH/acidphosphatase,False
YppFfamilyprotein,YesK-likefamilyprotein,False
Qb-SNAREprotein,chitinsynthase,False
cellulosebiosynthesisprotein,-family,False
DUF3563domain-containingprotein,DUF3565domain-containingprotein,False
lauroyl-Kdo(2)-lipidIV(A)myristoyltransferase,-family,False
arsenicalpump-drivingATPase,flagellarbasalbodyrodproteinFlgF,False
ABCtransportersubstrate-bindingprotein/permease,ROKfamilytranscriptionalregulator,False
bifunctionalUDP-sugarhydrolase/5'-nucleotidase,-family,False
DUF962domain-containingprotein,YbaYfamilylipoprotein,False
aminotransferaseclassIII-foldpyridoxalphosphate-dependentenzyme,-family,False
PstAfamilyABCtransporterpermease,PstCfamilyABCtransporterpermease,False
bifunctionaltriose-phosphateisomerase/glyceraldehyde-3-phosphatedehydrogenase,NADH-quinoneoxidoreductasesubunit,False
F-box/WDrepeat-containingprotein,"poly-beta-1,6-N-acetyl-D-glucosamineN-deacetylasePgaB",False
responseregulatortranscriptionfactor,-family,False
aminoacidpermease,-family,False
DhaKLMoperoncoactivatorDhaQ,autotransporteradhesin,False
proteinlyl-1,basichelix-loop-helixdomain-containingprotein,False
ATP-dependentRNAhelicase,-family,False
autotransporteradhesin,nitrate/nitritesensorhistidinekinase,False
TLP20familyprotein,phagetailtapemeasureprotein,False
sensorhistidinekinase,RINGfinger/CHYzincfingerprotein,False
DUF4040domain-containingprotein,-family,False
fungalspecifictranscriptionfactordomain-containingprotein,ATP-dependentDNAhelicase,False
alpha/betahydrolase,-family,False
ketoacyl-ACPsynthaseIII,beta-ketoacylsynthase,False
DNAtopoisomerase,responseregulatortranscriptionfactor,False
flagellarbasalbodyP-ringproteinFlgI,-family,False
polyoltransporter,solutecarrierorganicaniontransporter,False
phosphatase,diadenosinetetraphosphatase,False
flavin-bindingmonooxygenase-likefamilyprotein,-family,False
branched-chainaminoacidtransportsystemIIcarrierprotein,Slpfamilylipoprotein,False
non-ribosomalpeptidesynthetase,glycosyltransferasefamilyprotein,False
liprin-betafamilyprotein,LIMandsenescentcellantigen-like-containingdomainprotein,False
polysaccharidebiosynthesisprotein,FUSCfamilyprotein,False
DUF2264domain-containingprotein,DUF2199domain-containingprotein,False
STIMATEfamilyprotein,polycombprotein,False
PD-(D/E)XKnuclease-likedomain-containingprotein,FG-GAPrepeatprotein,False
transcriptionfactor,proteintwist,False
DNA-bindingresponseregulator,sensorhistidinekinase,False
endonuclease,-family,False
2Fe-2Siron-sulfurclusterbindingdomain-containingprotein,GATA-typetranscriptionfactor,False
two-componentsystemsensorhistidinekinase,-family,False
ATP-dependentzincmetalloproteaseFtsH,ATP-dependentDNAhelicaseRecG,False
CUGBPElav-likefamilyprotein,RNA-bindingprotein,False
transcriptionalregulator,FoF1ATPsynthasesubunit,False
16SrRNAmethyltransferase,cytochromec5familyprotein,False
tetratricopeptiderepeat-containingprotein,sigma-54-dependentFisfamilytranscriptionalregulator,False
5-(carboxyamino)imidazoleribonucleotidesynthase,5-(carboxyamino)imidazoleribonucleotidemutase,False
MFStransporter,glucosetransporter,False
glycosyltransferase,undecaprenyl-phosphate4-deoxy-4-formamido-L-arabinosetransferase,False
bifunctionaluridylyltransferase/uridylyl-removingprotein,glutamine-synthetaseadenylyltransferase,False
histonedeacetylase,DIP1984familyprotein,False
mediatorofRNApolymeraseIItranscriptionsubunit,AC78familyprotein,False
RbsD/FucUfamilyprotein,LXGdomain-containingprotein,False
H/ACAribonucleoproteincomplexsubunitGAR1,Golgireassembly-stackingprotein,False
RecQfamilyATP-dependentDNAhelicase,ATP-dependentDNAhelicaseRecQ,False
C40familypeptidase,CreAfamilyprotein,False
M14familymetallopeptidase,CPW-WPCfamilyprotein,False
Maff2familyprotein,single-strandedDNA-bindingprotein,False
carboxylate-amineligase,-family,False
beta-ketoacylsynthasechainlengthfactor,classISAM-dependentmethyltransferase,False
CxxCxxCCdomain-containingprotein,-family,False
MLdomain-containingprotein,-family,False
glycosyltransferasefamilyprotein,-family,False
M24Bfamilymetallopeptidase,4Fe-4Sdiclusterdomain-containingprotein,False
GIY-YIGnucleasefamilyprotein,UpxYfamilytranscriptionantiterminator,False
rodshape-determiningprotein,"succinatedehydrogenase,hydrophobicmembraneanchorprotein",False
cobalt-precorrin-4/precorrin-4C(11)-methyltransferase,NADPH-dependentF420reductase,False
TGF-betareceptortype-2,transcriptionterminationfactorrho,False
beta-galactosidasesubunit,DUF276domain-containingprotein,False
proteasome-activatingnucleotidase,-family,False
two-componentsystemregulatoryprotein,-family,False
transthyretin-likefamilyprotein,-family,False
DUF1676domain-containingprotein,DUF1691domain-containingprotein,False
peroxisomalbiogenesisfactor,methyltransferase,False
C1familypeptidase,glycosidehydrolasefamilyprotein,False
HRD1familyE3ubiquitin-proteinligase,hemolysinfamilyprotein,False
tetratricopeptiderepeat-containingprotein,GNATfamilyN-acetyltransferase,False
uS3familyribosomalprotein,30Sribosomalprotein,False
ERmembraneproteincomplexsubunit4,DUF1059domain-containingprotein,False
ammoniumtransporter,cataboliterepressor/activator,False
cysteine-richKTRdomain-containingprotein,cysteine-richVLPdomain-containingprotein,False
cellulosebiosynthesisregulatorYedQ,cellulosebiosynthesisprotein,False
excinucleaseABCsubunitUvrA,ABCtransporterATP-bindingprotein,False
60Sribosomalprotein,-family,False
signalpeptidaseII,-family,False
catecholatesiderophorereceptorCirA,-family,False
amidase,-family,False
phosphoribosylamine--glycineligase,-family,False
ABCtransporterpermeasesubunit,ABCtransporterpermease,False
fructose-6-phosphatealdolase,-family,False
bifunctionalterpenesynthase/polyprenylsynthetasefamilyprotein,methyl-acceptingchemotaxisprotein,False
DUF47domain-containingprotein,translationinitiationfactor,False
acetatekinase,-family,False
DUF1073domain-containingprotein,DUF2familydomain-containingprotein,False
flotillinfamilyprotein,FHAdomain-containingprotein,False
"cyclic2,3-diphosphoglyceratesynthase",GTPase,False
bifunctionalalpha/betahydrolase/OsmCfamilyprotein,AI-2Efamilytransporter,False
"GDP-mannose4,6-dehydratase",alpha-D-ribose1-methylphosphonate5-phosphateC-P-lyase,False
nicotinatephosphoribosyltransferase,6-phosphogluconolactonase,False
DUF4124domain-containingprotein,YidRfamilyprotein,False
ribonucleaseHI,ribonucleaseHfamilyprotein,False
electrontransferflavoproteinsubunit,plasmidpartitioningprotein,False
DUF3880domain-containingprotein,typeVIsecretionsystemVgrfamilyprotein,False
GNATfamilyN-acetyltransferase,BTB/POZdomain-containingprotein,False
DUF3748domain-containingprotein,sialateO-acetylesterase,False
PolC-typeDNApolymeraseIII,catalase/peroxidase,False
CYTHandCHADdomain-containingprotein,1-propanoldehydrogenasePduQ,False
flagellarbiosyntheticproteinFliQ,squamosapromoter-binding-likeprotein,False
proteindisulfideoxidoreductase,DsbEfamilythioldisulfideinterchangeprotein,False
3-isopropylmalatedehydrogenase,-family,False
30Sribosomalprotein,-family,False
non-structuralmaintenanceofchromosomeselement,NADPH-dependent7-cyano-7-deazaguaninereductase,False
PaaIfamilythioesterase,acyl-CoAthioesterase,False
INGfamilyPHDfingerprotein,-family,False
ATPsynthasesubunit,-family,False
TRAPtransportersubstrate-bindingprotein,ATP-bindingprotein,False
STARTdomain-containingprotein,typeIItoxin-antitoxinsystemtoxin,False
SRPBCCfamilyprotein,chloridechannelprotein,False
conjugaltransferprotein,-family,False
glutathionesynthase,-family,False
gelsolin/scinderinfamilyprotein,gelsolin-likeprotein,False
sensorhistidinekinase,RNApolymerase-associatedRTF1familyprotein,False
MARKfamilyserine/threonine-proteinkinase,MAP/microtubuleaffinity-regulatingkinase,False
DUF2623domain-containingprotein,DUF2627domain-containingprotein,False
effluxRNDtransporterperiplasmicadaptorsubunit,-family,False
bifunctionalDNA-directedRNApolymerasesubunitbeta/beta',DNA-directedRNApolymeraseIIsubunit,False
F0F1ATPsynthasesubunitalpha,intermediatefilamentfamilyprotein,False
RNDfamilytransporter,cupindomain-containingprotein,False
helix-turn-helixtranscriptionalregulator,XREfamilytranscriptionalregulator,False
cytochromecbiogenesisprotein,hemeexporterprotein,False
cysteinedesulfurase,-family,False
F0F1ATPsynthasesubunitbeta,-family,False
classIIglutamineamidotransferase,glutamineamidotransferase,False
C2domain-containingprotein,-family,False
nostrin,BARandSH3domains-containingprotein,False
ferlinfamilyC2domain-containingprotein,pleckstrinhomologydomain-containing,False
CLPTM1familyprotein,actin-relatedprotein2/3complexsubunit4familyprotein,False
synaptotagmin,synaptotagminfamilyprotein,False
flagellarbasalbodyrodproteinFlgB,-family,False
C1familypeptidase,-family,False
proteinkinasefamilyprotein,-family,False
classIImyosinmotordomain-containingprotein,NAD()kinase,False
VWAdomain-containingRINGfingerprotein,acyl-CoAdehydrogenasefamilyprotein,False
DUF4835familyprotein,DUF4825domain-containingprotein,False
ABCtransporterATP-bindingprotein,ABCtransporterATP-bindingprotein/permease,False
SAUR-likeauxin-responsivefamilyprotein,-family,False
D-isomerspecific2-hydroxyaciddehydrogenasefamilyprotein,2-hydroxyaciddehydrogenase,False
DSD1familyPLP-dependentenzyme,aminoaciddeaminase/aldolase,False
nucleotidyltransferaseAbiEii/AbiGiitoxinfamilyprotein,-family,False
dihydroorotase,rubrerythrinfamilyprotein,False
polysaccharideexportprotein,-family,False
NodZfamilyprotein,translationinitiationfactor,False
helix-turn-helixdomain-containingprotein,XREfamilytranscriptionalregulator,False
YjcGfamilyprotein,-family,False
acetaldehydedehydrogenase,UTP15familyWD40repeatdomain-containingprotein,False
SDRfamilyoxidoreductase,site-specificintegrase,False
subclassB1metallo-beta-lactamase,phf1/phf2familyPHDfingerdomain-containingprotein,False
30Sribosomalprotein,ribonucleaseY,False
guanylate-bindingprotein,-family,False
immunityfamilyprotein,toll/interleukin-1receptordomain-containingprotein,False
DUF3854domain-containingprotein,DUF3715domain-containingprotein,False
YcjFfamilyprotein,YehRfamilylipoprotein,False
UBXdomain-containingprotein,NSFL1cofactorp47,False
M24familymetallopeptidase,aminopeptidase,False
ubiquitin-likedomain-containingprotein,DUF305domain-containingprotein,False
methyl-acceptingchemotaxisprotein,FHY3/FAR1familyprotein,False
DUF2097domain-containingprotein,DUF2familydomain-containingprotein,False
"alpha-1,2-fucosyltransferase",imelysinfamilyprotein,False
Ldhfamilyoxidoreductase,RsmDfamilyRNAmethyltransferase,False
telomerase-bindingproteinEST1A,typeVIsecretionsystemtipproteinVgrG,False
methylthioribulose-1-phosphatedehydratase,methylthioribulose1-phosphatedehydratase,False
biotinsynthase,-family,False
DUF418familyprotein,-family,False
GPRendopeptidase,-family,False
glycosyltransferase,arsenatereductase,False
polyhydroxyalkanoatedepolymerase,bifunctionalADP-dependentNAD(P)H-hydratedehydratase/NAD(P)H-hydrateepimerase,False
GerWfamilysporulationprotein,lysozymeinhibitorLprIfamilyprotein,False
FOXAfamilyforkheadboxtranscriptionfactor,FOXKfamilyforkheadboxprotein,False
alpha-mannosyltransferase,cellwallmannoprotein1familyprotein,False
exonuclease,-family,False
"2,4-dienoyl-CoAreductase",-family,False
DUF1405domain-containingprotein,collagenbindingdomain-containingprotein,False
RNA-bindingprotein,U1AfamilyRNA-bindingprotein,False
DUF1993domain-containingprotein,DUF1957domain-containingprotein,False
replicationinitiationprotein,ammoniumtransporter,False
chromatinproteinCren7,staygreenfamilyprotein,False
exodeoxyribonucleaseX,-family,False
kelch-likeprotein,BTB/POZdomain-containingprotein,False
cytochromec-550PedF,F0F1ATPsynthasesubunitgamma,False
flagellarhookassemblyproteinFlgD,aminoacidpermease,False
PXdomain-containingprotein,PXandBARdomain-containingprotein,False
serineproteaseinhibitor,serpinfamilyprotein,False
diphthinemethylestersynthase,-family,False
5'/3'-nucleotidaseSurE,-family,False
glutamine--tRNAligase,glutamate--tRNAligase,False
PCRFdomain-containingprotein,-family,False
glycosidehydrolasefamilyprotein,alpha-glucosidase,False
DUF2607domain-containingprotein,YbjOfamilyprotein,False
GNATfamilyN-acetyltransferase,-family,False
RING-H2fingerprotein,VPS11familyprotein,False
NADHdehydrogenasesubunit,-family,False
CCZ1familyprotein,ATP-bindingprotein,False
DNA-processingproteinDprA,integraseDNA-bindingdomain-containingprotein,False
iron-siderophoreABCtransportersubstrate-bindingprotein,cobalamin-bindingprotein,False
sigma-54-dependentFisfamilytranscriptionalregulator,NADH-quinoneoxidoreductasesubunit,False
anaerobicribonucleoside-triphosphatereductase,Tim17/Tim22/Tim23/Pmp24familyprotein,False
FADbindingdomain-containingprotein,-family,False
thioesterasefamilyprotein,hybrid-clusterNAD(P)-dependentoxidoreductase,False
ARMrepeatandBTB/POZdomain-containingprotein,RCC1andBTBdomain-containingprotein,False
SETdomain-containingprotein,-family,False
typeIpolyketidesynthase,C-typelectindomain-containingprotein,False
inorganicdiphosphatase,ribosome-bindingfactorA,False
plasminogenreceptor(KT),CCR4-NOTtranscriptioncomplexsubunit,False
MepBfamilyprotein,HutPfamilyprotein,False
DUF2931familyprotein,-family,False
P-typeconjugativetransferATPaseTrbB,-family,False
DNA-directedRNApolymerasesubunit,celldivisionprotein,False
SbmA/BacA-likefamilytransporter,threonine/serineexporterfamilyprotein,False
DUF2173familyprotein,cephalosporinhydroxylasefamilyprotein,False
glycosyltransferasefamilyprotein,-family,False
DUF5107andTPRdomain-containingprotein,-family,False
SWIMzincfingerfamilyprotein,60SribosomalexportproteinNMD3,False
imidazoleglycerolphosphatesynthasesubunit,-family,False
NAD-dependentmalicenzyme,-family,False
DUF1416domain-containingprotein,DUF1420domain-containingprotein,False
NADHdehydrogenasesubunit,-family,False
polyphosphatekinase,-family,False
tRNAmethyltransferase10homolog,fanconi-associatednuclease1,False
DUF4119domain-containingprotein,DUF3876domain-containingprotein,False
nonstructuralprotein5A,E3ubiquitin-proteinligase,False
CofD/YvcKfamilyprotein,-family,False
YobFfamilyprotein,tetraprenyl-beta-curcumenesynthasefamilyprotein,False
DUF192domain-containingprotein,-family,False
DUF3675domain-containingprotein,DUF3644domain-containingprotein,False
anionexchangeprotein,mannuronate-specificalginatelyase,False
DUF2564familyprotein,UL96familyprotein,False
tetratricopeptiderepeat-containingsensorhistidinekinase,tetratricopeptiderepeat-containingprotein,False
ribokinase,bifunctionalADP-heptosesynthase,False
methylmalonyl-CoAmutasesubunit,methylmalonyl-CoAmutase,False
ABCtransporterATP-bindingprotein,phosphonateABCtransporterATP-bindingprotein,False
ASCHdomain-containingprotein,DUF2familydomain-containingprotein,False
efamilyribosomalprotein,-family,False
leucine-richrepeatdomain-containingprotein,-family,False
FAD-dependentoxidoreductase,transposase,False
CCAtRNAnucleotidyltransferase,ephrinreceptor,False
lysophospholipidacyltransferasefamilyprotein,YhfXfamilyPLP-dependentenzyme,False
adenylosuccinatelyase,-family,False
typeI-ECRISPR-associatedproteinCas7/Cse4/CasC,iron-sulfurclusterassemblyaccessoryprotein,False
acetyltransferase,dynactinsubunit,False
phosphoglycolatephosphatase,-family,False
oxalyl-CoAdecarboxylase,-family,False
Sec-independentproteintranslocasesubunit,-family,False
PhlBfamilyprotein,-family,False
23SrRNApseudouridinesynthase,chromodomain-containingprotein,False
YscGfamilytypeIIIsecretionsystemchaperone,typeIIIsecretionchaperoneSycN,False
elongationofverylongchainfattyacidsprotein,signalpeptidaseII,False
polyribonucleotidenucleotidyltransferase,ABCtransporterATP-bindingprotein,False
WGrepeat-containingprotein,nucleolarprotein16,False
acylphosphatase,-family,False
ribonucleaseE/G,NACfamilytranscriptionfactor,False
matrixprotein1,TrbI/VirB10familyprotein,False
lipoate--proteinligasefamilyprotein,-family,False
RNApolymerasealpha/RpoL/Rpb11familyprotein,-family,False
IclRfamilytranscriptionalregulator,PadRfamilytranscriptionalregulator,False
tannase/feruloylesterasefamilyalpha/betahydrolase,quorum-sensing-regulatedvirulencefactorfamilyprotein,False
mitochondrialpyruvatecarrierfamilyprotein,CbrCfamilyprotein,False
ureaseaccessoryUreD/UreHfamilyprotein,-family,False
bifunctionalS-methyl-5'-thioadenosinedeaminase/S-adenosylhomocysteinedeaminase,RhtX/FptXfamilysiderophoretransporter,False
PASdomain-containingsensorhistidinekinase,Hsp70familyprotein,False
neuralWiskott-Aldrichsyndromeprotein,SPREDfamilyWD40domain-containingprotein,False
carbonmonoxidedehydrogenaseaccessoryprotein,ephrindomain-containingprotein,False
DENNdomain-containingprotein,FHY3/FAR1familyprotein,False
YbaB/EbfCfamilynucleoid-associatedprotein,NAD(P)()transhydrogenase(Re/Si-specific)subunitbeta,False
lipopolysaccharideassemblyLapAdomain-containingprotein,DUF21familyprotein,False
flagellarbasalbodyrodproteinFlgC,-family,False
MarRfamilytranscriptionalregulator,TraR/DksAfamilytranscriptionalregulator,False
SF3B4/SAP49familyRNA-bindingprotein,RNA-bindingprotein,False
ANP1/MMN9/VAN1familyprotein,TrbG/VirB9familyP-typeconjugativetransferprotein,False
SANT/Myb-likeDNA-bindingdomain-containingprotein,recombinasefamilyprotein,False
mediatorofRNApolymeraseIItranscriptionsubunit,gluconate2-dehydrogenasesubunit3familyprotein,False
pyridoxalkinase,bifunctionalADP-heptosesynthase,False
FAD-bindingand(Fe-S)-bindingdomain-containingprotein,FAD-bindingoxidoreductase,False
serineprotease,XREfamilytranscriptionalregulator,False
AF-17familyePHDfingerdomain-containingprotein,ePHDfingerdomain-containingprotein,False
RNA-bindingprotein,-family,False
DNAtopoisomerase,phospho-sugarmutase,False
epoxyqueuosinereductase,DUF192domain-containingprotein,False
transcriptionfactor,sex-determiningregionYprotein,False
RINGfingerprotein,"bifunctional2-C-methyl-D-erythritol4-phosphatecytidylyltransferaseIspD/2-C-methyl-D-erythritol2,4-cyclodiphosphatesynthaseIspF",False
ComEC/Rec2familycompetenceprotein,SAPdomain-containingprotein,False
bifunctionaluniversalstress/proteinkinasefamilyprotein,universalstressprotein,False
SAM-dependentmethyltransferase,acetolactatedecarboxylase,False
hybridsensorhistidinekinase/responseregulator,diacylglycerolkinase,False
TonB-dependentreceptor,EF-handdomain-containingprotein,False
phosphoenolpyruvatecarboxylase,DNArepairprotein,False
Nif3-likedinuclearmetalcenterhexamericprotein,"bifunctional3,4-dihydroxy-2-butanone-4-phosphatesynthase/GTPcyclohydrolaseII",False
serine/threonine-proteinkinase,PDPK1familyserine/threonine-proteinkinase,False
caseinkinaseIIsubunit,DYRKfamilydualspecificityproteinkinase,False
SHOCTdomain-containingprotein,TraCfamilyprotein,False
YhfGfamilyprotein,-family,False
mitogen-activatedproteinkinasekinasekinase,PRP4familyserine/threonine-proteinkinase,False
DUF4885domain-containingprotein,DUF4884domain-containingprotein,False
DUF1080domain-containingprotein,tobamovirusmultiplicationprotein,False
Tm-1-likeATP-bindingdomain-containingprotein,UPF0262familyprotein,False
FAD-dependentmonooxygenase,-family,False
ATP-bindingcassettefamilyprotein,energy-couplingfactorABCtransporterATP-bindingprotein,False
DUF917domain-containinghydantoinase/oxoprolinasefamilyprotein,hydantoinase/oxoprolinasefamilyprotein,False
MOSCdomain-containingprotein,typeIItoxin-antitoxinsystemantitoxin,False
transposase,-family,False
ATP-dependentRNAhelicase,RNAhelicase,False
UASandUBXdomain-containingprotein,co-chaperone,False
uS3familyribosomalprotein,30Sribosomalprotein,False
synaptotagmin,synaptotagminfamilyprotein,False
spermidineN1-acetyltransferase,-family,False
MHCclassIantigenalphachain,M48familymetallopeptidase,False
envelopeprotein,mycbox-dependent-interactingprotein1,False
radicalSAMmobilepairproteinA,sporephotoproductlyasefamilyprotein,False
116kDaU5smallnuclearribonucleoproteincomponent,PASdomain-containingsensorhistidinekinase,False
fibroblastgrowthfactorreceptor,tRNApseudouridinesynthase,False
lipoprotein,typeIItoxin-antitoxinsystemtoxin,False
nitroreductasefamilyprotein,-family,False
flavinreductasefamilyprotein,bL35familyribosomalprotein,False
chemotaxisprotein,GAFdomain-containingprotein,False
"GDP-mannose4,6-dehydratase",alpha-D-ribose1-methylphosphonate5-phosphateC-P-lyase,False
undecaprenyldiphosphatesynthasefamilyprotein,four-helixbundlecopper-bindingprotein,False
PTSsugartransportersubunit,PTSbeta-glucosidetransportersubunitIIBCA,False
dihydrolipoyldehydrogenase,-family,False
aminocyclopropane-1-carboxylatedeaminase/D-cysteinedesulfhydrasefamilyprotein,"GTP3',8-cyclaseMoaA",False
PHdomain-containingprotein,proteinFANfamilyprotein,False
xylulokinase,proteinDsrB,False
replicativeDNAhelicase,-family,False
peptidase,pyrimidineutilizationprotein,False
homoserinekinase,typeIIsecretionsystemprotein,False
pre-16SrRNA-processingnucleaseYqgF,CBSdomain-containingprotein,False
coproporphyrinogenIIIoxidase,-family,False
EALdomain-containingprotein,CYTHdomain-containingprotein,False
SDRfamilyoxidoreductase,-family,False
DUF1308domain-containingprotein,DUF1330domain-containingprotein,False
M20aminoacylasefamilyprotein,M20familymetallopeptidase,False
ABCtransportersubstrate-bindingprotein,traffickingproteinparticlecomplexsubunit,False
I-BARandSH3domain-containingprotein,HMG-boxdomain-containingprotein,False
regulatoryprotein,-family,False
type1glutamineamidotransferase,arsenatereductase,False
CUBdomain-containingprotein,GNATfamilyN-acetyltransferase,False
CRISPR-associatedendonuclease,CRISPR-associatedtranscriptionalregulatorCsa3,False
rhoguaninenucleotideexchangefactor,cytochromeP450,False
transcriptionalregulator,-family,False
cbb3-typecytochromeoxidaseassemblyprotein,hemeexporterprotein,False
restrictionendonucleasesubunit,F-box/LRR-repeatprotein,False
minichromosomemaintenanceprotein,chitin-bindingdomain-containingprotein,False
YbgC/FadMfamilyacyl-CoAthioesterase,S-adenosylmethioninedecarboxylase,False
2-phospho-L-lactatetransferase,YaiOfamilyoutermembranebeta-barrelprotein,False
nitrogenaseiron-molybdenumcofactorbiosynthesisprotein,-family,False
ribosomematurationfactorRimP,-family,False
Na()/H()antiporter,aconitatehydratase,False
oxygen-independentcoproporphyrinogenIIIoxidase-likeprotein,-family,False
dihydroxyacetonekinasesubunitDhaK,-family,False
phosphonateC-PlyasesystemproteinPhnH,PTS-dependentdihydroxyacetonekinasephosphotransferasesubunitDhaM,False
flavodoxin,-family,False
Glu/Leu/Phe/Valdehydrogenase,MurR/RpiRfamilytranscriptionalregulator,False
site-2proteasefamilyprotein,TIAMfamilyPHdomain-containingprotein,False
"GTP3',8-cyclaseMoaAfamilyprotein",-family,False
Hsp70familyprotein,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylateN-acetyltransferase",False
acyltransferase,sugarO-acetyltransferase,False
forkheadboxtranscriptionfactor,Hsp70familyprotein,False
N-acetyl-gamma-glutamyl-phosphatereductase,-family,False
nucleotidyltransferasedomain-containingprotein,-family,False
ABCtransporterATP-bindingprotein,energy-couplingfactorABCtransporterATP-bindingprotein,False
tRNAsynthetase,tRNAmodificationGTPase,False
RNApseudouridinesynthasedomain-containingprotein,UTP--glucose-1-phosphateuridylyltransferase,False
F0F1ATPsynthasesubunitepsilon,-family,False
SIP3familyprotein,amphiphysin,False
ligand-gatedchannelprotein,carnitine3-dehydrogenase,False
DUF5043domain-containingprotein,DUF5035domain-containingprotein,False
DNAligase,-family,False
transposase,-family,False
capsidprotein,citratelyasesubunitalpha,False
formimidoylglutamase,nitratereductasemolybdenumcofactorassemblychaperone,False
NAD(P)H-hydrateepimerase,bifunctionalADP-dependentNAD(P)H-hydratedehydratase/NAD(P)H-hydrateepimerase,False
DUF4299domain-containingprotein,DUF4297domain-containingprotein,False
NADP-dependentoxidoreductase,cationprotonantiporter,False
DUF4345domain-containingprotein,DUF4347domain-containingprotein,False
hemeAsynthase,hemeoxygenase(biliverdin-producing),False
cytochromecoxidaseassemblyprotein,-family,False
PXdomain-containingprotein,LYAR-typeC2HCzincfingerprotein,False
